FD197,12.6,Low Sugar,0.025,Snack Foods,157.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,3288.06
FD451,14.42,Regular,0.036,Dairy,162.86,OUT002,1998,Small,Tier 3,Food Mart,913.54
FD2259,11.76,Low Sugar,0.053,Fruits and Vegetables,136.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,3032.46
FD7154,16.75,Low Sugar,0.027,Breakfast,211.71,OUT003,1999,Medium,Tier 1,Departmental Store,5702.22
FD2831,12.83,Low Sugar,0.095,Canned,159.77,OUT004,2009,Medium,Tier 2,Supermarket Type2,3753.24
FD1368,16.29,reg,0.184,Frozen Foods,217.94,OUT003,1999,Medium,Tier 1,Departmental Store,5726.19
FD784,14.52,Low Sugar,0.061,Fruits and Vegetables,130.67,OUT004,2009,Medium,Tier 2,Supermarket Type2,3541.1
FD3983,11.97,Low Sugar,0.022,Fruits and Vegetables,111.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,2578.16
FD2780,7.53,Low Sugar,0.188,Frozen Foods,77.56,OUT002,1998,Small,Tier 3,Food Mart,874.72
FD6095,9.61,Regular,0.118,Snack Foods,154.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2921.65
DR848,12,Low Sugar,0.058,Soft Drinks,110.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2551.99
FD3131,11.98,Regular,0.027,Fruits and Vegetables,156.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3490.6
FD1478,12.88,Regular,0.01,Fruits and Vegetables,181.93,OUT003,1999,Medium,Tier 1,Departmental Store,4217.82
DR4603,11.94,Low Sugar,0.067,Soft Drinks,175.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3883.52
FD8450,14.08,reg,0.074,Breads,127.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,3375.71
FD5334,8.56,Low Sugar,0.035,Fruits and Vegetables,76.33,OUT002,1998,Small,Tier 3,Food Mart,1082.17
NC6437,13.01,No Sugar,0.054,Household,144.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3482.54
NC6701,12.39,No Sugar,0.021,Household,118.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,2810.58
NC5677,10.78,No Sugar,0.018,Health and Hygiene,138.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2857.3
DR139,9.5,Regular,0.035,Hard Drinks,181.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3604.83
FD3478,12.98,Low Sugar,0.142,Fruits and Vegetables,178.51,OUT001,1987,High,Tier 2,Supermarket Type1,4172
NC6233,15.98,No Sugar,0.042,Household,195.42,OUT003,1999,Medium,Tier 1,Departmental Store,5194.84
FD5710,11.99,Low Sugar,0.049,Breads,121.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2770.65
FD6624,9.37,Low Sugar,0.111,Dairy,135.92,OUT001,1987,High,Tier 2,Supermarket Type1,2484.71
FD5615,13.46,Low Sugar,0.065,Fruits and Vegetables,162.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3942.04
FD7466,12.92,Low Sugar,0.083,Meat,180.95,OUT003,1999,Medium,Tier 1,Departmental Store,4207.7
FD8494,9.96,Low Sugar,0.029,Snack Foods,147.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,2864.34
FD8551,10.62,Low Sugar,0.036,Snack Foods,195.34,OUT004,2009,Medium,Tier 2,Supermarket Type2,3982
FD2781,7.27,Low Sugar,0.011,Snack Foods,104.5,OUT002,1998,Small,Tier 3,Food Mart,1366.11
FD5463,12.51,Low Sugar,0.049,Snack Foods,158.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3654.12
FD241,13.23,Low Sugar,0.072,Baking Goods,131.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2986.38
FD6117,14.56,Low Sugar,0.039,Baking Goods,156.96,OUT001,1987,High,Tier 2,Supermarket Type1,4087.94
FD1794,8.98,Low Sugar,0.038,Canned,101.43,OUT002,1998,Small,Tier 3,Food Mart,1690.64
FD4523,17.24,Low Sugar,0.067,Frozen Foods,188.7,OUT003,1999,Medium,Tier 1,Departmental Store,5341.76
